id,inputs,reference_outputs,session_name,repetition,outputs,run,status,error,latency,tokens,total_cost,exact_effective_date_f1,exact_f1,exact_jurisdiction_f1,exact_party_f1,exact_term_f1,fuzzy_f1,fuzzy_jurisdiction_f1,fuzzy_party_f1,fuzzy_term_f1
028ea476-30fa-56da-98e4-f9bd77397c02,"{""document_id"": ""db004ff0a64417b9987241241b209c69.pdf""}","{""term"": ""2_years"", ""party"": [{""name"": ""Potbelly_Corporation""}, {""name"": ""Ancora_Advisors_LLC""}], ""jurisdiction"": ""Delaware"", ""effective_date"": ""2017-10-02""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 15879, ""_page_count"": 5, ""effective_date"": ""2017-10-02"", ""jurisdiction"": null, ""party"": [{""name"": ""Potbelly_Corporation""}, {""name"": ""Ancora_Parties""}, {""name"": ""Joseph_Boehm""}, {""name"": ""Ancora_Advisors_LLC""}], ""term"": null}","{""inputs"": {""document_id"": ""db004ff0a64417b9987241241b209c69.pdf""}, ""outputs"": {""_char_count"": 15879, ""_page_count"": 5, ""effective_date"": ""2017-10-02"", ""jurisdiction"": null, ""party"": [{""name"": ""Potbelly_Corporation""}, {""name"": ""Ancora_Parties""}, {""name"": ""Joseph_Boehm""}, {""name"": ""Ancora_Advisors_LLC""}], ""term"": null}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:50.429277+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7dfb-0342-7a52-9472-8f8ec5c9be92"", ""status"": ""success""}",success,,3.3877179622650146,6280,0.007244,1.0,0.4167,0.0,0.6667,0.0,0.4167,0.0,0.6667,0.0
0316bb8f-f778-5c7e-a405-7f14c54ee098,"{""document_id"": ""ba91f088d45bf7314d395f06632193b0.pdf""}","{""term"": null, ""party"": [{""name"": ""Photoworks_Inc.""}, {""name"": ""American_Greetings_Corporation""}], ""jurisdiction"": ""Washington"", ""effective_date"": ""2007-08-14""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 20918, ""_page_count"": 4, ""effective_date"": ""2007-08-14"", ""jurisdiction"": ""Washington"", ""party"": [{""name"": ""PhotoWorks_Inc""}, {""name"": ""American_Greetings_Corporation""}], ""term"": null}","{""inputs"": {""document_id"": ""ba91f088d45bf7314d395f06632193b0.pdf""}, ""outputs"": {""_char_count"": 20918, ""_page_count"": 4, ""effective_date"": ""2007-08-14"", ""jurisdiction"": ""Washington"", ""party"": [{""name"": ""PhotoWorks_Inc""}, {""name"": ""American_Greetings_Corporation""}], ""term"": null}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:50.429277+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7dfb-03ee-75a0-8531-a987f801e005"", ""status"": ""success""}",success,,3.3665380477905273,7388,0.008256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0344c372-aeb4-5a07-9e42-341d27b83999,"{""document_id"": ""58bb4bcceda75d910f8c87563aeedec7.pdf""}","{""term"": null, ""party"": [{""name"": ""Citi_Trends_Inc.""}, {""name"": ""Ivy_Council""}], ""jurisdiction"": ""Georgia"", ""effective_date"": ""2013-05-01""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 14197, ""_page_count"": 3, ""effective_date"": ""2013-05-01"", ""jurisdiction"": ""Georgia"", ""party"": [{""name"": ""Citi_Trends_Inc.""}, {""name"": ""Ivy_Council""}], ""term"": null}","{""inputs"": {""document_id"": ""58bb4bcceda75d910f8c87563aeedec7.pdf""}, ""outputs"": {""_char_count"": 14197, ""_page_count"": 3, ""effective_date"": ""2013-05-01"", ""jurisdiction"": ""Georgia"", ""party"": [{""name"": ""Citi_Trends_Inc.""}, {""name"": ""Ivy_Council""}], ""term"": null}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:44.810791+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7e00-fe3f-7230-a5fc-34a89ada849d"", ""status"": ""success""}",success,,22.585092067718506,8300,0.009092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
06acf059-c9ce-5890-abe0-ba3e93363e72,"{""document_id"": ""435d6eaa82632030cfc84bbd93e96bf8.pdf""}","{""term"": ""3_years"", ""party"": [{""name"": ""Aol_Inc.""}, {""name"": ""Verizon_Corporate_Services_Group_Inc.""}], ""jurisdiction"": ""New_York"", ""effective_date"": ""2014-11-25""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 12295, ""_page_count"": 3, ""effective_date"": ""2024-01-01"", ""jurisdiction"": ""New_York"", ""party"": [{""name"": ""AOL_Inc.""}, {""name"": ""Verizon_Corporate_Services_Group_Inc.""}], ""term"": ""3_years""}","{""inputs"": {""document_id"": ""435d6eaa82632030cfc84bbd93e96bf8.pdf""}, ""outputs"": {""_char_count"": 12295, ""_page_count"": 3, ""effective_date"": ""2024-01-01"", ""jurisdiction"": ""New_York"", ""party"": [{""name"": ""AOL_Inc.""}, {""name"": ""Verizon_Corporate_Services_Group_Inc.""}], ""term"": ""3_years""}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:42.293905+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7e04-8c73-7b60-9da5-2f818c076f4b"", ""status"": ""success""}",success,,55.39574098587036,7223,0.008047,0.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0
080f5fcf-edaf-5893-b946-422f7a9e2587,"{""document_id"": ""0d3f3a02773949e285cfc3ad2fe4dbf5.pdf""}","{""term"": null, ""party"": [{""name"": ""Oglethorpe_Power_Corporation""}], ""jurisdiction"": ""New_York"", ""effective_date"": null}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 25425, ""_page_count"": 10, ""effective_date"": null, ""jurisdiction"": ""Georgia"", ""party"": [{""name"": ""Oglethorpe_Power_Corporation""}], ""term"": null}","{""inputs"": {""document_id"": ""0d3f3a02773949e285cfc3ad2fe4dbf5.pdf""}, ""outputs"": {""_char_count"": 25425, ""_page_count"": 10, ""effective_date"": null, ""jurisdiction"": ""Georgia"", ""party"": [{""name"": ""Oglethorpe_Power_Corporation""}], ""term"": null}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:42.293905+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7e04-aee2-7482-96d4-1c74343e2177"", ""status"": ""success""}",success,,31.049675941467285,6433,0.007241,1.0,0.75,0.0,1.0,1.0,0.75,0.0,1.0,1.0
0f823d28-66b9-5f17-ade1-bd8a38c90af9,"{""document_id"": ""0f32a3a54d9c1e42d26f66746821c3bf.pdf""}","{""term"": ""2_years"", ""party"": [{""name"": ""Jda_Software_Group_Inc.""}, {""name"": ""Redprairie_Holding_Inc.""}], ""jurisdiction"": ""Delaware"", ""effective_date"": ""2012-09-04""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 25570, ""_page_count"": 8, ""effective_date"": ""2012-09-04"", ""jurisdiction"": ""Delaware"", ""party"": [{""name"": ""JDA_Software_Group_Inc""}, {""name"": ""RedPrairie_Holding_Inc""}, {""name"": ""New_Mountain_Capital_LLC""}], ""term"": null}","{""inputs"": {""document_id"": ""0f32a3a54d9c1e42d26f66746821c3bf.pdf""}, ""outputs"": {""_char_count"": 25570, ""_page_count"": 8, ""effective_date"": ""2012-09-04"", ""jurisdiction"": ""Delaware"", ""party"": [{""name"": ""JDA_Software_Group_Inc""}, {""name"": ""RedPrairie_Holding_Inc""}, {""name"": ""New_Mountain_Capital_LLC""}], ""term"": null}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:42.293905+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7e04-e064-74f1-aef8-919674188c40"", ""status"": ""success""}",success,,22.30141592025757,13406,0.014562,1.0,0.7,1.0,0.8,0.0,0.7,1.0,0.8,0.0
13be653c-c5c1-5c79-b9ca-c73ac4934e70,"{""document_id"": ""ab46a92eef527dbae20fc09b2741c804.pdf""}","{""term"": ""2_years"", ""party"": [{""name"": ""Webex_Communications_Inc.""}, {""name"": ""Cisco_Systems_Inc.""}], ""jurisdiction"": ""Delaware"", ""effective_date"": ""2007-03-04""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 20257, ""_page_count"": 7, ""effective_date"": ""2007-03-04"", ""jurisdiction"": ""California"", ""party"": [{""name"": ""Webex_Communications_Inc.""}, {""name"": ""Cisco_Systems_Inc.""}], ""term"": null}","{""inputs"": {""document_id"": ""ab46a92eef527dbae20fc09b2741c804.pdf""}, ""outputs"": {""_char_count"": 20257, ""_page_count"": 7, ""effective_date"": ""2007-03-04"", ""jurisdiction"": ""California"", ""party"": [{""name"": ""Webex_Communications_Inc.""}, {""name"": ""Cisco_Systems_Inc.""}], ""term"": null}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:47.469735+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7dfd-b352-7e81-ad84-9e8d580e5e90"", ""status"": ""success""}",success,,24.630446910858154,6384,0.007256,1.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0
145f3257-e509-536d-9e11-e509011d9d6c,"{""document_id"": ""dffd3c1faf94dbdc6b3853fbb07afdd8.pdf""}","{""term"": null, ""party"": [{""name"": ""Newgistics_Inc.""}, {""name"": ""Stephen_M._Mattessich""}], ""jurisdiction"": ""Texas"", ""effective_date"": ""2011-03-29""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 9797, ""_page_count"": 4, ""effective_date"": ""2011-03-29"", ""jurisdiction"": null, ""party"": [{""name"": ""Newgistics_Inc""}, {""name"": ""Stephen_M._Mattessich""}], ""term"": ""2_years""}","{""inputs"": {""document_id"": ""dffd3c1faf94dbdc6b3853fbb07afdd8.pdf""}, ""outputs"": {""_char_count"": 9797, ""_page_count"": 4, ""effective_date"": ""2011-03-29"", ""jurisdiction"": null, ""party"": [{""name"": ""Newgistics_Inc""}, {""name"": ""Stephen_M._Mattessich""}], ""term"": ""2_years""}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:50.429277+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7dfb-107e-75f0-a22f-6b8e2d356cb1"", ""status"": ""success""}",success,,32.02357006072998,6318,0.007198,1.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0
15294f6f-204b-560a-ae63-96142f32ad3c,"{""document_id"": ""5646698b1542fd5a4d4b7bc60d84b8fd.pdf""}","{""term"": null, ""party"": [{""name"": ""Patricia_Sueltz""}, {""name"": ""Salesforce.Com_Inc.""}], ""jurisdiction"": ""California"", ""effective_date"": ""2005-05-17""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 17707, ""_page_count"": 6, ""effective_date"": ""2005-05-17"", ""jurisdiction"": ""California"", ""party"": [{""name"": ""Patricia_Sueltz""}, {""name"": ""salesforce.com_inc.""}], ""term"": null}","{""inputs"": {""document_id"": ""5646698b1542fd5a4d4b7bc60d84b8fd.pdf""}, ""outputs"": {""_char_count"": 17707, ""_page_count"": 6, ""effective_date"": ""2005-05-17"", ""jurisdiction"": ""California"", ""party"": [{""name"": ""Patricia_Sueltz""}, {""name"": ""salesforce.com_inc.""}], ""term"": null}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:44.810791+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7e01-26be-7442-8cf9-4a8326205491"", ""status"": ""success""}",success,,28.316948890686035,6402,0.00727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
187a899a-4d50-5fd2-a9d9-5f7cb7b80af8,"{""document_id"": ""b6e2939084cbdb9da155803777f9ad78.pdf""}","{""term"": null, ""party"": [{""name"": ""Affiliated_Companies""}, {""name"": ""Michael_L._Mooney""}], ""jurisdiction"": ""Idaho"", ""effective_date"": ""2005-05-04""}",claude-lite-agentic-multimodal-82a5eb80,1,"{""_char_count"": 5116, ""_page_count"": 2, ""effective_date"": ""2005-05-04"", ""jurisdiction"": null, ""party"": [{""name"": ""Affiliated_Companies""}, {""name"": ""Silver_Valley_Capital""}, {""name"": ""Sterling_Mining_Company""}, {""name"": ""Kimberly_Gold_Mines_Inc""}, {""name"": ""Shoshone_Silver_Mining_Company""}, {""name"": ""Michael_L_Mooney""}], ""term"": null}","{""inputs"": {""document_id"": ""b6e2939084cbdb9da155803777f9ad78.pdf""}, ""outputs"": {""_char_count"": 5116, ""_page_count"": 2, ""effective_date"": ""2005-05-04"", ""jurisdiction"": null, ""party"": [{""name"": ""Affiliated_Companies""}, {""name"": ""Silver_Valley_Capital""}, {""name"": ""Sterling_Mining_Company""}, {""name"": ""Kimberly_Gold_Mines_Inc""}, {""name"": ""Shoshone_Silver_Mining_Company""}, {""name"": ""Michael_L_Mooney""}], ""term"": null}, ""session_id"": ""bf28ea06-3acc-46ae-bbc9-63ca5f3162ca"", ""error"": null, ""extra"": {""metadata"": {""LANGSMITH_ENDPOINT"": ""https://api.smith.langchain.com"", ""LANGSMITH_PROJECT"": ""agentic-kie-evals"", ""LANGSMITH_TRACING"": ""true"", ""__ls_runner"": ""py_sdk_evaluate"", ""example_version"": ""2026-04-11T14:27:50.429277+00:00"", ""ls_example_dataset_split"": [""dev""], ""ls_example_partition"": ""dev-0"", ""ls_example_source"": ""kleister-nda"", ""ls_method"": ""traceable"", ""ls_run_depth"": 0, ""modality"": ""multimodal"", ""model_name"": ""claude"", ""num_repetitions"": 1, ""revision_id"": ""dc70dde"", ""strategy"": ""agentic""}, ""runtime"": {""langchain_core_version"": ""1.2.28"", ""langchain_version"": ""1.2.15"", ""library"": ""langsmith"", ""platform"": ""macOS-26.4-arm64-arm-64bit-Mach-O"", ""py_implementation"": ""CPython"", ""runtime"": ""python"", ""runtime_version"": ""3.13.12"", ""sdk"": ""langsmith-py"", ""sdk_version"": ""0.7.30""}}, ""run_type"": ""chain"", ""id"": ""019d7dfb-1115-73a1-8331-a47b38364fe8"", ""status"": ""success""}",success,,17.220419883728027,6011,0.007015,1.0,0.5625,0.0,0.25,1.0,0.625,0.0,0.5,1.0
